0.9	677681.311649953
0.905	715261.704774022
0.91	754377.8612233624
0.915	795134.5243383618
0.92	837521.872898531
0.925	881523.2302868855
0.93	926997.7261581393
0.935	974148.8728582888
0.94	1023493.243329927
0.945	1074241.0328132855
0.95	1126603.9181514466
0.955	1180862.3984264613
0.96	1237138.0658737656
0.965	1294902.2299801826
0.97	1354804.7681549788
0.975	1416461.8624489827
0.98	1480009.8518701538
0.985	1545588.3759463688
0.99	1613029.211930214
0.995	1682487.4695714086
1.0	1753945.6663925336
1.005	1827259.7353296187
1.01	1902629.5694620728
1.015	1980175.5283945126
1.02	2059600.1384234086
1.025	2141025.6572531853
1.03	2224752.4669839875
1.035	2310603.407072065
1.04	2398307.922277688
1.045	2488080.997243417
1.05	2580052.150745268
1.055	2674010.2771134092
1.06	2770562.4407280926
1.065	2869043.6486962084
1.07	2969660.1675571334
1.075	3072670.8039234392
1.08	3178044.3430884746
1.085	3285599.4619776937
1.09	3394681.950659773
1.095	3505895.195234461
1.1	3619702.47865785
1.105	3735584.1882842155
1.11	3852851.485022243
1.115	3973355.01866498
1.12	4095737.5785777294
1.125	4222226.897425735
1.13	4349612.089402414
1.135	4477762.466696073
1.14	4611631.685892847
1.145	4745152.728984226
1.15	4882863.190348624
1.155	5021624.9827512605
1.16	5161893.612727022
1.165	5304674.984827075
1.17	5450284.35882989
1.175	5598848.073173416
1.18	5746774.725433668
1.185	5902319.922879297
1.19	6056575.328296075
1.195	6214074.202494961
1.2	6372012.872938616
1.205	6534112.161313657
1.21	6698555.597620012
1.215	6864769.791410066
1.22	7034451.263026183
1.225	7205692.995952218
1.23	7378619.064655308
1.235	7555707.308897691
1.24	7731164.652956597
1.245	7912622.283453011
1.25	8093556.616472227
1.255	8277818.3631494315
1.26	8465531.283445518
1.265	8654841.42952249
1.27	8848190.26431523
1.275	9039921.833973432
1.28	9237199.33706581
1.285	9431031.758627191
1.29	9630395.695122505
1.295	9832643.324103905
1.3	10036993.093584985
1.305	10241156.334344918
1.31	10445630.548410004
1.315	10650982.898729507
1.32	10857976.054157179
1.325	11063294.606672412
1.33	11253382.996307516
1.335	11410569.840925723
1.34	11592653.805607392
1.345	11788214.05854664
1.35	11980144.012880182
1.355	12161454.59457825
1.36	12405007.88444918
1.365	12695812.947708065
1.37	12869678.048692277
1.375	13124344.434385763
1.38	13367659.578375762
1.385	13539330.476416567
1.39	13781313.7918556
1.395	14008053.075119924
1.4	14261645.787404183
1.405	14482445.40057221
1.41	14674965.5841194
1.415	14941749.621890225
1.42	15135748.880208138
1.425	15402683.069113621
1.43	15651747.980293557
1.435	15887477.23599667
1.44	16121723.396845853
1.445	16406907.563867396
1.45	16697067.199664336
1.455	16905744.162906762
1.46	17219273.60207204
1.465	17473425.566019244
1.47	17700604.167438395
1.475	17969460.549108155
1.48	18243594.93819717
1.485	18504442.886902604
1.49	18776018.22931124
1.495	19031663.699594595
1.5	19293950.608727463
1.505	19623711.46541634
1.51	19874564.41580984
1.515	20159586.646810867
1.52	20418197.432418745
1.525	20723930.98581013
1.53	20994268.577518657
1.535	21295947.386160973
1.54	21592094.33301654
1.545	21896294.562119182
1.55	22183083.878295183
1.555	22485141.194212988
1.56	22762111.44974781
1.565	23079714.244825896
1.57	23397464.069995634
1.575	23714049.67069784
1.58	23998091.474312823
1.585	24332583.823525228
1.59	24656578.03213555
1.595	25017287.717327386
1.6	25328494.878904868
1.605	25658714.893432505
1.61	25985531.32188832
1.615	26337239.419603392
1.62	26699256.312698193
1.625	27097843.06526514
1.63	27433241.933218278
1.635	27834376.053256623
1.64	28171249.237961493
1.645	28531705.74108329
1.65	28954450.417712852
1.655	29333376.68373285
1.66	29565589.451658756
1.665	30242617.071753513
1.67	30573420.5532177
1.675	31028349.535553806
1.68	31390614.911748897
1.685	31743334.824214876
1.69	32186565.402412448
1.695	32333191.272925295
1.7	32477894.46288277
1.705	32749072.393069092
1.71	32889137.557609547
1.715	32871658.176368672
1.72	32910695.75402507
1.725	33078479.24983686
1.73	33431411.664496582
1.735	33467160.892766714
1.74	33956745.1004013
1.745	34095828.56125673
1.75	34329664.95952309
1.755	34518947.09435374
1.76	34737419.95786907
1.765	35059627.11238103
1.77	34811865.86967314
1.775	34884674.663486235
1.78	35258447.19947328
1.785	35249344.07200279
1.79	35550118.414514296
1.795	35745520.5583223
1.8	35766802.74671578
1.805	35942454.86186384
1.81	36010001.6408044
1.815	36627312.53564559
1.82	36094427.1474562
1.825	37112923.44067546
1.83	37288983.08021896
1.835	37513345.74836897
1.84	37507840.06470656
1.845	37638473.600775525
1.85	37932139.79649855
1.855	37995841.66394091
1.86	37480566.20971965
1.865	38242199.507429786
1.87	38740975.59989932
1.875	38956345.09728802
1.88	39585805.34251034
1.885	40121504.84779396
1.89	40396678.817447335
1.895	40784478.43312589
1.9	41003123.67109412
1.905	41117046.463301525
1.91	41671166.18292535
1.915	41870042.601513386
1.92	42120926.683047034
1.925	42082346.67413466
1.93	42645932.495602086
1.935	42813330.58551807
1.94	42443392.05335558
1.945	43162606.03095752
1.95	43434437.41428954
1.955	42994341.2811677
1.96	43952184.338850364
1.965	44227176.378409296
1.97	44435732.85413624
1.975	44262845.32095148
1.98	44822700.103151254
1.985	45084060.38781657
1.99	44631874.63490973
1.995	46062139.32309237
2.0	45514803.28325214
2.005	46039116.50594345
2.01	46586676.22336839
2.015	46614497.97368073
2.02	46940123.451293804
2.025	47607436.47450952
2.03	47723401.23633483
2.035	48130604.71603255
2.04	48317723.00396281
2.045	48786911.40957695
2.05	49134071.55557262
