Temp,Logg,pgs,Kzz,gs,File
1300,5.5,1000000,100000000.0,1,aces-pso318_t1300_g5.50_pgs1000000_Kzz100000000_gs1.0_OSIRIS-Kbb-RAW.txt
1300,5.5,4000000,100000000.0,1,aces-pso318_t1300_g5.50_pgs4000000_Kzz100000000_gs1.0_OSIRIS-Kbb-RAW.txt
1500,3.5,500000,100000000.0,1,aces-pso318_t1500_g3.50_pgs500000_Kzz100000000_gs1.0_OSIRIS-Kbb-RAW.txt
1500,3.5,1000000,100000000.0,1,aces-pso318_t1500_g3.50_pgs1000000_Kzz100000000_gs1.0_OSIRIS-Kbb-RAW.txt
1500,3.5,4000000,100000000.0,1,aces-pso318_t1500_g3.50_pgs4000000_Kzz100000000_gs1.0_OSIRIS-Kbb-RAW.txt
1500,4.0,500000,100000000.0,1,aces-pso318_t1500_g4.00_pgs500000_Kzz100000000_gs1.0_OSIRIS-Kbb-RAW.txt
1500,4.0,1000000,100000000.0,1,aces-pso318_t1500_g4.00_pgs1000000_Kzz100000000_gs1.0_OSIRIS-Kbb-RAW.txt
1500,4.0,4000000,100000000.0,1,aces-pso318_t1500_g4.00_pgs4000000_Kzz100000000_gs1.0_OSIRIS-Kbb-RAW.txt
1500,4.5,500000,100000000.0,1,aces-pso318_t1500_g4.50_pgs500000_Kzz100000000_gs1.0_OSIRIS-Kbb-RAW.txt
1500,4.5,1000000,100000000.0,1,aces-pso318_t1500_g4.50_pgs1000000_Kzz100000000_gs1.0_OSIRIS-Kbb-RAW.txt
1500,4.5,4000000,100000000.0,1,aces-pso318_t1500_g4.50_pgs4000000_Kzz100000000_gs1.0_OSIRIS-Kbb-RAW.txt
1500,5.5,500000,100000000.0,1,aces-pso318_t1500_g5.50_pgs500000_Kzz100000000_gs1.0_OSIRIS-Kbb-RAW.txt
1500,5.5,1000000,100000000.0,1,aces-pso318_t1500_g5.50_pgs1000000_Kzz100000000_gs1.0_OSIRIS-Kbb-RAW.txt
1500,5.5,4000000,100000000.0,1,aces-pso318_t1500_g5.50_pgs4000000_Kzz100000000_gs1.0_OSIRIS-Kbb-RAW.txt
1700,3.5,500000,100000000.0,1,aces-pso318_t1700_g3.50_pgs500000_Kzz100000000_gs1.0_OSIRIS-Kbb-RAW.txt
1700,3.5,1000000,100000000.0,1,aces-pso318_t1700_g3.50_pgs1000000_Kzz100000000_gs1.0_OSIRIS-Kbb-RAW.txt
1700,3.5,4000000,100000000.0,1,aces-pso318_t1700_g3.50_pgs4000000_Kzz100000000_gs1.0_OSIRIS-Kbb-RAW.txt
1700,4.0,500000,100000000.0,1,aces-pso318_t1700_g4.00_pgs500000_Kzz100000000_gs1.0_OSIRIS-Kbb-RAW.txt
1700,4.0,1000000,100000000.0,1,aces-pso318_t1700_g4.00_pgs1000000_Kzz100000000_gs1.0_OSIRIS-Kbb-RAW.txt
