Temp,Logg,Metal,Alpha,PGS,Kzz,GS
800,3.5,0.0,0.0,500000,100000000,1.0
800,3.5,0.0,0.0,1000000,100000000,1.0
800,3.5,0.0,0.0,4000000,100000000,1.0
800,4.0,0.0,0.0,500000,100000000,1.0
800,4.0,0.0,0.0,1000000,100000000,1.0
800,4.0,0.0,0.0,4000000,100000000,1.0
800,4.5,0.0,0.0,500000,100000000,1.0
800,4.5,0.0,0.0,1000000,100000000,1.0
800,4.5,0.0,0.0,4000000,100000000,1.0
800,5.0,0.0,0.0,500000,100000000,1.0
800,5.0,0.0,0.0,1000000,100000000,1.0
800,5.0,0.0,0.0,4000000,100000000,1.0
800,5.5,0.0,0.0,500000,100000000,1.0
800,5.5,0.0,0.0,1000000,100000000,1.0
800,5.5,0.0,0.0,4000000,100000000,1.0
900,3.5,0.0,0.0,500000,100000000,1.0
900,3.5,0.0,0.0,1000000,100000000,1.0
900,3.5,0.0,0.0,4000000,100000000,1.0
900,4.0,0.0,0.0,500000,100000000,1.0
900,4.0,0.0,0.0,1000000,100000000,1.0
900,4.0,0.0,0.0,4000000,100000000,1.0
900,4.5,0.0,0.0,500000,100000000,1.0
900,4.5,0.0,0.0,1000000,100000000,1.0
900,4.5,0.0,0.0,4000000,100000000,1.0
900,5.0,0.0,0.0,500000,100000000,1.0
900,5.0,0.0,0.0,1000000,100000000,1.0
900,5.0,0.0,0.0,4000000,100000000,1.0
900,5.5,0.0,0.0,500000,100000000,1.0
900,5.5,0.0,0.0,1000000,100000000,1.0
900,5.5,0.0,0.0,4000000,100000000,1.0
1000,3.5,0.0,0.0,500000,100000000,0.5
1000,3.5,0.0,0.0,500000,100000000,1.0
1000,3.5,0.0,0.0,500000,100000000,2.0
1000,3.5,0.0,0.0,500000,100000000,3.0
1000,3.5,0.0,0.0,500000,100000000,5.0
1000,3.5,0.0,0.0,500000,100000000,10.0
1000,3.5,0.0,0.0,1000000,100000000,0.5
1000,3.5,0.0,0.0,1000000,100000000,1.0
1000,3.5,0.0,0.0,1000000,100000000,2.0
1000,3.5,0.0,0.0,1000000,100000000,3.0
1000,3.5,0.0,0.0,1000000,100000000,5.0
1000,3.5,0.0,0.0,1000000,100000000,10.0
1000,3.5,0.0,0.0,2000000,100000000,0.5
1000,3.5,0.0,0.0,2000000,100000000,1.0
1000,3.5,0.0,0.0,2000000,100000000,2.0
1000,3.5,0.0,0.0,2000000,100000000,3.0
1000,3.5,0.0,0.0,3000000,100000000,0.5
1000,3.5,0.0,0.0,3000000,100000000,1.0
1000,3.5,0.0,0.0,3000000,100000000,2.0
1000,3.5,0.0,0.0,3000000,100000000,3.0
1000,3.5,0.0,0.0,4000000,100000000,0.5
1000,3.5,0.0,0.0,4000000,100000000,1.0
1000,3.5,0.0,0.0,4000000,100000000,2.0
1000,3.5,0.0,0.0,4000000,100000000,3.0
1000,3.5,0.0,0.0,4000000,100000000,5.0
1000,3.5,0.0,0.0,4000000,100000000,10.0
1000,4.0,0.0,0.0,500000,100000000,0.5
1000,4.0,0.0,0.0,500000,100000000,1.0
1000,4.0,0.0,0.0,500000,100000000,2.0
