Temp,Logg,Metal,Alpha,Kzz
1000,5.0,0.0,0.0,0.0
1100,5.0,0.0,0.0,0.0
1200,5.0,0.0,0.0,0.0
1300,5.0,0.0,0.0,0.0
1400,5.0,0.0,0.0,0.0
1500,5.0,0.0,0.0,0.0
1600,5.0,0.0,0.0,0.0
1700,5.0,0.0,0.0,0.0
1800,5.0,0.0,0.0,0.0
1900,5.0,0.0,0.0,0.0
2000,2.5,0.0,0.0,0.0
2000,3.0,0.0,0.0,0.0
2000,3.5,0.0,0.0,0.0
2000,4.0,0.0,0.0,0.0
2000,4.5,0.0,0.0,0.0
2000,5.0,0.0,0.0,0.0
2000,5.5,0.0,0.0,0.0
2000,6.0,0.0,0.0,0.0
2100,2.5,0.0,0.0,0.0
2100,3.0,0.0,0.0,0.0
2100,3.5,0.0,0.0,0.0
2100,4.0,0.0,0.0,0.0
2100,4.5,0.0,0.0,0.0
2100,5.0,0.0,0.0,0.0
2100,5.5,0.0,0.0,0.0
2100,6.0,0.0,0.0,0.0
2200,2.5,0.0,0.0,0.0
2200,3.0,0.0,0.0,0.0
2200,3.5,0.0,0.0,0.0
2200,4.0,0.0,0.0,0.0
2200,4.5,0.0,0.0,0.0
2200,5.0,0.0,0.0,0.0
2200,5.5,0.0,0.0,0.0
2200,6.0,0.0,0.0,0.0
2300,2.5,0.0,0.0,0.0
2300,3.0,0.0,0.0,0.0
2300,3.5,0.0,0.0,0.0
2300,4.0,0.0,0.0,0.0
2300,4.5,0.0,0.0,0.0
2300,5.0,0.0,0.0,0.0
2300,5.5,0.0,0.0,0.0
2300,6.0,0.0,0.0,0.0
2400,2.5,0.0,0.0,0.0
2400,3.0,0.0,0.0,0.0
2400,3.5,0.0,0.0,0.0
2400,4.0,0.0,0.0,0.0
2400,4.5,0.0,0.0,0.0
2400,5.0,0.0,0.0,0.0
2400,5.5,0.0,0.0,0.0
2400,6.0,0.0,0.0,0.0
2500,2.5,0.0,0.0,0.0
2500,3.0,0.0,0.0,0.0
2500,3.5,0.0,0.0,0.0
2500,4.0,0.0,0.0,0.0
2500,4.5,0.0,0.0,0.0
2500,5.0,0.0,0.0,0.0
2500,5.5,0.0,0.0,0.0
2500,6.0,0.0,0.0,0.0
2600,2.5,0.0,0.0,0.0
2600,3.0,0.0,0.0,0.0
2600,3.5,0.0,0.0,0.0
2600,4.0,0.0,0.0,0.0
2600,4.5,0.0,0.0,0.0
2600,5.0,0.0,0.0,0.0
2600,5.5,0.0,0.0,0.0
2600,6.0,0.0,0.0,0.0
2700,2.5,0.0,0.0,0.0
2700,3.0,0.0,0.0,0.0
2700,3.5,0.0,0.0,0.0
2700,4.0,0.0,0.0,0.0
2700,4.5,0.0,0.0,0.0
2700,5.0,0.0,0.0,0.0
2700,5.5,0.0,0.0,0.0
2700,6.0,0.0,0.0,0.0
2800,2.5,0.0,0.0,0.0
2800,3.0,0.0,0.0,0.0
2800,3.5,0.0,0.0,0.0
2800,4.0,0.0,0.0,0.0
2800,4.5,0.0,0.0,0.0
2800,5.0,0.0,0.0,0.0
2800,5.5,0.0,0.0,0.0
2800,6.0,0.0,0.0,0.0
2900,2.5,0.0,0.0,0.0
2900,3.0,0.0,0.0,0.0
2900,3.5,0.0,0.0,0.0
2900,4.0,0.0,0.0,0.0
2900,4.5,0.0,0.0,0.0
2900,5.0,0.0,0.0,0.0
2900,5.5,0.0,0.0,0.0
2900,6.0,0.0,0.0,0.0
3000,2.0,0.0,0.0,0.0
3000,2.5,0.0,0.0,0.0
3000,3.0,0.0,0.0,0.0
3000,3.5,0.0,0.0,0.0
3000,4.0,0.0,0.0,0.0
3000,4.5,0.0,0.0,0.0
3000,5.0,0.0,0.0,0.0
3000,5.5,0.0,0.0,0.0
3000,6.0,0.0,0.0,0.0
3100,2.0,0.0,0.0,0.0
3100,2.5,0.0,0.0,0.0
3100,3.0,0.0,0.0,0.0
3100,3.5,0.0,0.0,0.0
3100,4.0,0.0,0.0,0.0
3100,4.5,0.0,0.0,0.0
3100,5.0,0.0,0.0,0.0
3100,5.5,0.0,0.0,0.0
3100,6.0,0.0,0.0,0.0
3200,2.0,0.0,0.0,0.0
3200,2.5,0.0,0.0,0.0
3200,3.0,0.0,0.0,0.0
3200,3.5,0.0,0.0,0.0
3200,4.0,0.0,0.0,0.0
3200,4.5,0.0,0.0,0.0
3200,5.0,0.0,0.0,0.0
3200,5.5,0.0,0.0,0.0
3200,6.0,0.0,0.0,0.0
3300,2.0,0.0,0.0,0.0
